country,countrycode,gdb_cc,gdb_ci,gdb_ea,gdb_gf,gdb_lm,gdb_pf,gdb_pi,gdb_pp,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,all_cc,all_ci,all_ea,all_gf,all_lm,all_pf,all_pi,all_pp
Angola,AGO,22.42,28.67,40,43.85,8.04,60.18,12.08,72.47,-.6099202,-1.00891,-.3415051,-1.099066,-.7613882,-.7372524,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Argentina,ARG,54.31,47.8,58.33,64.94,58.37,91.05,50.39,70.96,-.360884,-.3775173,-.1275179,-.4108265,-.4825354,.5339218,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Benin,BEN,22.49,28.87,3,47.08,18.55,74.08,11.43,75.24,-.0495794,-.2189841,-.3465594,-.5057096,-.2958363,-.2189869,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Burkina Faso,BFA,12.18,13.52,16,49.84,28.31,57.18,16.43,56.97,-.1696155,-.8262275,-2.035232,-.741779,-.4856336,-.8098872,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Bahamas,BHS,26.09,26.67,0,50.96,0,45.04,14.44,60.16,1.26691,.2703533,1.008562,.1795665,.0071838,.8603491,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Belize,BLZ,20.34,29.3,0,51.07,6.53,30.33,9.44,29.35,-.2261138,-.3763118,.5853258,-.6356119,-.4305829,.5390046,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Bolivia,BOL,24.45,10.2,18.67,32.7,14.82,24.55,20.74,58.32,-.8383011,-.6394811,-.3131836,-1.219338,-1.177119,-.2651913,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Brazil,BRA,73.31,42.04,90,76.13,44.42,91.53,60.54,74.43,-.5036432,-.5467643,-.4085678,-.3088028,-.2964782,.3828539,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Barbados,BRB,35.29,24.1,43,42.52,0,46.43,9.67,57.69,1.344586,.3804432,1.187129,.4141954,.5031077,1.162192,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Botswana,BWA,14.13,34.9,3,52.01,0,20.22,10.57,41.66,.6857921,.4308284,1.03844,.3904364,.4974348,.5040569,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Chile,CHL,61.78,34.27,46.67,68.8,47.54,68.13,77.73,95.21,.9686038,.7175558,.1361599,.6250938,.9257317,1.017949,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Cote d'Ivoire,CIV,22.86,16,0,44.24,30.69,63.55,5.74,64.69,-.3130074,-.359512,-.6317882,-.4611971,-.1160814,-.3754806,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Cameroon,CMR,15.14,15.87,16,19.97,6.89,80.98,9.76,66.86,-1.16256,-.9062626,-1.400436,-1.038198,-.913473,-1.066397,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Colombia,COL,79.41,43.4,13.33,78.85,32.57,67.49,49.41,87.71,-.3091913,-.0758779,-.7173132,-.4582729,.1010343,.2052137,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Costa Rica,CRI,33.55,18.67,14,62.02,30.09,58.74,23.45,73.41,.6537494,.2601965,.9841868,.3893166,.5435476,1.069906,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
Dominican Republic,DOM,68.47,33.67,22,51.23,0,67.77,43.7,90.53,-.4494749,.1280344,.239014,-.1285923,.1711869,.3258871,35.74,26.48,25.23,48.77,19.85,59.23,27.05,68.94
